experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,11,11042,GWO,-93.9711980627969,93.9711980627969,0,1,34.26104720000876
pressure,frozen,12,11,11042,FA,-108.3174998866682,108.3174998866682,0,1,92.86330389999785
pressure,frozen,12,11,11042,PSO,-108.33419109813512,108.33419109813512,0,1,15.60429639997892
pressure,frozen,12,11,11042,GA,-109.92151076418044,109.92151076418044,0,1,44.473958000016864
pressure,frozen,12,11,11042,ACO,-110.06693447291104,110.06693447291104,0,1,38.11283709999407
pressure,frozen,12,12,12042,ABC,-96.5369961802908,96.5369961802908,0,1,41.720580300025176
pressure,frozen,12,12,12042,GWO,903.6639863866078,96.33601361339214,1,0,32.14502899994841
pressure,frozen,12,12,12042,FA,906.717162227558,93.28283777244188,1,0,90.40367760002846
pressure,frozen,12,12,12042,PSO,-99.42783512967016,99.42783512967016,0,1,17.85612809995655
pressure,frozen,12,12,12042,GA,-99.4020808824594,99.4020808824594,0,1,40.0754803000018
pressure,frozen,12,12,12042,ACO,903.6615847228776,96.33841527712224,1,0,41.30598810000811
pressure,frozen,12,13,13042,ABC,903.6615629100472,96.33843708995272,1,0,44.36923469998874
pressure,frozen,12,13,13042,GWO,903.6653398256852,96.33466017431488,1,0,30.944799799995963
pressure,frozen,12,13,13042,FA,905.8099429425696,94.19005705743038,1,0,86.53010440000799
pressure,frozen,12,13,13042,PSO,1905.369894720972,94.63010527902829,2,0,19.27453279995825
pressure,frozen,12,13,13042,GA,904.9065661218418,95.09343387815822,1,0,43.71149239997612
pressure,frozen,12,13,13042,ACO,903.6595546953448,96.34044530465523,1,0,40.09389369998826
pressure,frozen,12,14,14042,ABC,-95.181179461396,95.181179461396,0,1,43.24125620000996
pressure,frozen,12,14,14042,GWO,903.6718496506747,96.32815034932511,1,0,33.8155460000271
pressure,frozen,12,14,14042,FA,905.902568630572,94.097431369428,1,0,81.472482400015
pressure,frozen,12,14,14042,PSO,904.146006424201,95.85399357579894,1,0,20.772472999989983
pressure,frozen,12,14,14042,GA,-94.97799616451182,94.97799616451182,0,1,39.23437040002318
pressure,frozen,12,14,14042,ACO,903.6569550043436,96.3430449956564,1,0,42.06255259999307
pressure,frozen,12,15,15042,ABC,-108.13761535419378,108.13761535419378,0,1,40.49786519998452
pressure,frozen,12,15,15042,GWO,894.0112470503102,105.98875294968975,1,0,33.09921079996275
pressure,frozen,12,15,15042,FA,894.0112470503102,105.98875294968975,1,0,159.60114330000945
pressure,frozen,12,15,15042,PSO,-110.00162305425106,110.00162305425106,0,1,20.619327199994583
pressure,frozen,12,15,15042,GA,886.1469960251521,113.85300397484782,1,0,43.78346500004409
pressure,frozen,12,15,15042,ACO,-112.8649262506786,112.8649262506786,0,1,43.205993499956094
pressure,frozen,12,16,16042,ABC,-109.12789047770504,109.12789047770504,0,1,43.12134299997706
pressure,frozen,12,16,16042,GWO,903.6648328315164,96.33516716848374,1,0,31.5918837999925
pressure,frozen,12,16,16042,FA,-109.37351196465318,109.37351196465318,0,1,90.18526030000066
pressure,frozen,12,16,16042,PSO,-107.28618831434416,107.28618831434416,0,1,15.822025600005873
pressure,frozen,12,16,16042,GA,-107.28367004614636,107.28367004614636,0,1,40.66092709999066
pressure,frozen,12,16,16042,ACO,903.6588448538522,96.34115514614776,1,0,39.18891540000914
pressure,frozen,12,17,17042,ABC,-111.25123274689425,111.25123274689425,0,1,44.01469939999515
pressure,frozen,12,17,17042,GWO,-90.01484107825038,90.01484107825038,0,1,30.918453499965835
pressure,frozen,12,17,17042,FA,-109.23224984826636,109.23224984826636,0,1,92.4322022999986
pressure,frozen,12,17,17042,PSO,-111.30791333811968,111.30791333811968,0,1,15.08873489999678
pressure,frozen,12,17,17042,GA,-111.30937764630336,111.30937764630336,0,1,43.79802889999701
pressure,frozen,12,17,17042,ACO,-104.75798600154712,104.75798600154712,0,1,41.43807370000286
pressure,frozen,12,18,18042,ABC,-115.12253380806372,115.12253380806372,0,1,42.5948677000124
pressure,frozen,12,18,18042,GWO,-115.16464014825732,115.16464014825732,0,1,34.57284460001392
pressure,frozen,12,18,18042,FA,-100.17014723769184,100.17014723769184,0,1,91.22671969997464
pressure,frozen,12,18,18042,PSO,-113.3588625097746,113.3588625097746,0,1,13.725246799993329
pressure,frozen,12,18,18042,GA,-115.16431246634204,115.16431246634204,0,1,45.63008489995264
pressure,frozen,12,18,18042,ACO,-115.15426549600848,115.15426549600848,0,1,44.41740249999566
pressure,frozen,12,19,19042,ABC,-102.14502255048944,102.14502255048944,0,1,42.661605899978895
pressure,frozen,12,19,19042,GWO,903.669501584895,96.33049841510508,1,0,33.84568570001284
pressure,frozen,12,19,19042,FA,907.9757011205425,92.02429887945765,1,0,89.00183600001037
pressure,frozen,12,19,19042,PSO,-104.91399598873956,104.91399598873956,0,1,14.374825600010809
pressure,frozen,12,19,19042,GA,-104.8874370868353,104.8874370868353,0,1,44.492098499962594
pressure,frozen,12,19,19042,ACO,903.662121187564,96.33787881243585,1,0,42.36300820001634
pressure,frozen,12,20,20042,ABC,-110.46231003326996,110.46231003326996,0,1,39.942894499981776
pressure,frozen,12,20,20042,GWO,-101.5651613329177,101.5651613329177,0,1,29.063949199975468
pressure,frozen,12,20,20042,FA,-109.54613595555804,109.54613595555804,0,1,87.90241520002019
pressure,frozen,12,20,20042,PSO,-110.09369703941444,110.09369703941444,0,1,18.88751899998169
pressure,frozen,12,20,20042,GA,-110.58191414460966,110.58191414460966,0,1,40.2880267999717
pressure,frozen,12,20,20042,ACO,-110.09602822484112,110.09602822484112,0,1,40.712644599960186
pressure,frozen,12,21,21042,ABC,-107.45170523681524,107.45170523681524,0,1,41.44887839996954
pressure,frozen,12,21,21042,GWO,903.6229849604662,96.37701503953382,1,0,33.34371980000287
pressure,frozen,12,21,21042,FA,-98.50485183545936,98.50485183545936,0,1,84.23130819998914
