dim,pop,budget,seed_base,run,algo,best_fitness,is_feasible,penalty,PSRR_DB
7,20,2500,20260806,7,ACO,884.5439312608028,0,1,115.45606873919725
7,20,2500,20260806,8,ABC,903.7128138316057,0,1,96.28718616839436
7,20,2500,20260806,8,GWO,909.8453965870704,0,1,90.15460341292959
7,20,2500,20260806,8,FA,913.7710614276278,0,1,86.22893857237217
7,20,2500,20260806,8,PSO,913.6557044828669,0,1,86.34429551713308
7,20,2500,20260806,8,GA,1903.0495441655858,0,2,96.95045583441419
7,20,2500,20260806,8,ACO,904.9248334582878,0,1,95.07516654171214
7,20,2500,20260806,9,ABC,-111.60424376250958,1,0,111.60424376250958
7,20,2500,20260806,9,GWO,-109.11776510495173,1,0,109.11776510495173
7,20,2500,20260806,9,FA,-111.49829925172627,1,0,111.49829925172627
7,20,2500,20260806,9,PSO,-111.62144357710089,1,0,111.62144357710089
7,20,2500,20260806,9,GA,-111.5990910824584,1,0,111.5990910824584
7,20,2500,20260806,9,ACO,-111.61965251865765,1,0,111.61965251865765
7,20,2500,20260806,10,ABC,907.0138864934754,0,1,92.98611350652456
7,20,2500,20260806,10,GWO,910.3383366594136,0,1,89.66166334058646
7,20,2500,20260806,10,FA,905.4908969642503,0,1,94.50910303574969
7,20,2500,20260806,10,PSO,904.9540326683855,0,1,95.04596733161453
7,20,2500,20260806,10,GA,912.2233899288043,0,1,87.77661007119573
7,20,2500,20260806,10,ACO,909.6261242613915,0,1,90.37387573860845
7,20,2500,20260806,11,ABC,-116.1713704071122,1,0,116.1713704071122
7,20,2500,20260806,11,GWO,-104.75789579615939,1,0,104.75789579615939
7,20,2500,20260806,11,FA,-116.0831532327853,1,0,116.0831532327853
7,20,2500,20260806,11,PSO,881.4736526982052,0,1,118.52634730179476
7,20,2500,20260806,11,GA,-116.18773173475418,1,0,116.18773173475418
7,20,2500,20260806,11,ACO,-108.18786935779586,1,0,108.18786935779586
7,20,2500,20260806,12,ABC,897.5087607529143,0,1,102.49123924708569
7,20,2500,20260806,12,GWO,1902.0100468228677,0,2,97.98995317713239
7,20,2500,20260806,12,FA,898.3811572453848,0,1,101.61884275461527
7,20,2500,20260806,12,PSO,898.1414995253784,0,1,101.85850047462155
7,20,2500,20260806,12,GA,898.1719984647799,0,1,101.82800153522014
7,20,2500,20260806,12,ACO,897.3568792799815,0,1,102.64312072001852
7,20,2500,20260806,13,ABC,-105.12558038377546,1,0,105.12558038377546
7,20,2500,20260806,13,GWO,-104.71475418285856,1,0,104.71475418285856
7,20,2500,20260806,13,FA,-99.80060281113151,1,0,99.80060281113151
7,20,2500,20260806,13,PSO,-97.81650669856855,1,0,97.81650669856855
7,20,2500,20260806,13,GA,-98.10192521732205,1,0,98.10192521732205
7,20,2500,20260806,13,ACO,-105.14373283566083,1,0,105.14373283566083
7,20,2500,20260806,14,ABC,-116.78022059256045,1,0,116.78022059256045
