experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D12,12,24,24042,FA,905.4223868755108,94.577613124489,1,0,35.06304839998484
dim,D12,12,24,24042,PSO,-91.69175728754612,91.69175728754612,0,1,9.47770779998973
dim,D12,12,24,24042,GA,903.6997822636332,96.3002177363667,1,0,19.556115099985615
dim,D12,12,24,24042,ACO,903.6621201208663,96.3378798791335,1,0,17.34227019996615
dim,D12,12,25,25042,ABC,-100.88837549522658,100.88837549522658,0,1,15.58685969997896
dim,D12,12,25,25042,GWO,903.6655351531622,96.33446484683788,1,0,13.328380899969488
dim,D12,12,25,25042,FA,892.8946012340099,107.10539876599007,1,0,33.767633700044826
dim,D12,12,25,25042,PSO,893.3748599842451,106.62514001575497,1,0,9.50395819998812
dim,D12,12,25,25042,GA,892.8275246988496,107.17247530115036,1,0,18.981133799999952
dim,D12,12,25,25042,ACO,903.6611464459954,96.33885355400452,1,0,17.223388499987777
dim,D12,12,26,26042,ABC,-107.66472841077922,107.66472841077922,0,1,15.294539799971972
dim,D12,12,26,26042,GWO,898.1729832799012,101.82701672009874,1,0,13.463070199999493
dim,D12,12,26,26042,FA,-105.28685585812975,105.28685585812975,0,1,36.849589099991135
dim,D12,12,26,26042,PSO,-107.7856791387968,107.7856791387968,0,1,9.3029516999959
dim,D12,12,26,26042,GA,-107.40128770609115,107.40128770609115,0,1,18.93845189997228
dim,D12,12,26,26042,ACO,-107.7852831223009,107.7852831223009,0,1,17.486869200016372
dim,D12,12,27,27042,ABC,-107.80550836082294,107.80550836082294,0,1,15.494647999992594
dim,D12,12,27,27042,GWO,892.1843982939382,107.81560170606176,1,0,13.33156110002892
dim,D12,12,27,27042,FA,-103.19822004038777,103.19822004038777,0,1,36.31761989998631
dim,D12,12,27,27042,PSO,-108.7839024142764,108.7839024142764,0,1,9.412352100014688
dim,D12,12,27,27042,GA,889.1640033410059,110.83599665899403,1,0,19.244261800020467
dim,D12,12,27,27042,ACO,-109.12546604146164,109.12546604146164,0,1,17.308882599987555
dim,D12,12,28,28042,ABC,-116.27586401100704,116.27586401100704,0,1,15.603624599985778
dim,D12,12,28,28042,GWO,-116.16992218273153,116.16992218273153,0,1,13.368661600048654
dim,D12,12,28,28042,FA,-116.21838341099333,116.21838341099333,0,1,36.54087159998016
dim,D12,12,28,28042,PSO,-115.25967292285958,115.25967292285958,0,1,9.533098399988376
dim,D12,12,28,28042,GA,-116.17616411655972,116.17616411655972,0,1,18.874006400001235
dim,D12,12,28,28042,ACO,-115.62002178374462,115.62002178374462,0,1,17.521711199951824
dim,D12,12,29,29042,ABC,-99.1685210472772,99.1685210472772,0,1,15.322195299959276
dim,D12,12,29,29042,GWO,903.8626561665868,96.137343833413,1,0,13.400325700000394
dim,D12,12,29,29042,FA,906.1062951180844,93.89370488191568,1,0,33.976407299982384
dim,D12,12,29,29042,PSO,904.9377927008236,95.06220729917636,1,0,9.554565099999309
dim,D12,12,29,29042,GA,-93.55861417147106,93.55861417147106,0,1,18.967766400019173
dim,D12,12,29,29042,ACO,903.6608438552466,96.33915614475332,1,0,17.09890770004131
dim,D16,16,0,42,ABC,-116.10131426024058,116.10131426024058,0,1,19.3677804999752
dim,D16,16,0,42,GWO,891.5714083128415,108.42859168715844,1,0,15.842288400046527
dim,D16,16,0,42,FA,-114.87851983501734,114.87851983501734,0,1,44.33124400000088
dim,D16,16,0,42,PSO,-116.09688092981096,116.09688092981096,0,1,21.946740499988664
dim,D16,16,0,42,GA,-115.8796555267892,115.8796555267892,0,1,45.77977970003849
dim,D16,16,0,42,ACO,-116.13262910583327,116.13262910583327,0,1,45.5960505999974
dim,D16,16,1,1042,ABC,-110.24064341416052,110.24064341416052,0,1,19.802754600008484
dim,D16,16,1,1042,GWO,-101.13333128490332,101.13333128490332,0,1,15.880717699998058
dim,D16,16,1,1042,FA,-110.2562772681385,110.2562772681385,0,1,42.91585549997399
dim,D16,16,1,1042,PSO,-110.29509697559564,110.29509697559564,0,1,20.624073099985253
dim,D16,16,1,1042,GA,-110.29281797153016,110.29281797153016,0,1,45.36600989999715
dim,D16,16,1,1042,ACO,-109.84328348063482,109.84328348063482,0,1,47.34329220000655
dim,D16,16,2,2042,ABC,-110.13989531551007,110.13989531551007,0,1,19.4912147000432
dim,D16,16,2,2042,GWO,903.6659338126956,96.33406618730444,1,0,15.968437600007746
dim,D16,16,2,2042,FA,900.7613769169028,99.23862308309717,1,0,41.816957199946046
dim,D16,16,2,2042,PSO,-109.95675180707418,109.95675180707418,0,1,21.12053569999989
dim,D16,16,2,2042,GA,-107.87788530693962,107.87788530693962,0,1,47.01045200001681
dim,D16,16,2,2042,ACO,901.584877331914,98.41512266808589,1,0,48.05924059997778
dim,D16,16,3,3042,ABC,-111.1347802707081,111.1347802707081,0,1,19.495591400016565
dim,D16,16,3,3042,GWO,891.1745082981663,108.82549170183366,1,0,15.696227199980058
dim,D16,16,3,3042,FA,886.5299150449981,113.47008495500184,1,0,40.0399550999864
dim,D16,16,3,3042,PSO,-111.41094241921576,111.41094241921576,0,1,19.36373430001549
