algo,run,conditions,n_feasible,worst_objective,worst_penalty,nominal_feasible,robust
GWO,8,15,2,-200.0,6,1,0
GWO,9,15,2,26.82095,3,1,0
GWO,10,15,2,-200.0,6,1,0
GWO,11,15,2,26.4943,3,1,0
GWO,12,15,2,-200.0,6,1,0
GWO,13,15,2,26.84444,3,1,0
GWO,14,15,2,26.80774,3,1,0
GWO,15,15,2,26.63335,3,1,0
GWO,16,15,2,26.66466,3,1,0
GWO,17,15,2,26.77151,3,1,0
GWO,18,15,2,26.50428,3,1,0
GWO,19,15,2,26.63131,3,1,0
GWO,20,15,2,26.72279,3,1,0
GWO,21,15,2,-200.0,6,1,0
GWO,22,15,2,26.84851,3,1,0
GWO,23,15,2,-200.0,6,1,0
GWO,24,15,2,-200.0,6,1,0
GWO,25,15,2,-200.0,6,1,0
GWO,26,15,2,-200.0,6,1,0
GWO,27,15,2,26.26126,3,1,0
GWO,28,15,2,26.82913,3,1,0
GWO,29,15,2,26.82131,3,1,0
PSO,0,15,2,21.36975,4,1,0
PSO,1,15,0,24.46645,3,0,0
PSO,2,15,2,26.16837,3,1,0
PSO,3,15,1,36.76963,3,1,0
PSO,4,15,2,26.78959,3,1,0
PSO,5,15,3,36.19936,3,1,0
PSO,6,15,2,26.03332,3,1,0
PSO,7,15,2,26.05213,3,1,0
PSO,8,15,1,33.14264,3,1,0
PSO,9,15,1,43.90902,4,1,0
PSO,10,15,1,35.5489,3,1,0
PSO,11,15,2,24.35947,3,1,0
PSO,12,15,1,37.21703,3,1,0
PSO,13,15,2,29.18327,3,1,0
PSO,14,15,2,26.04519,3,1,0
PSO,15,15,1,35.6691,3,1,0
PSO,16,15,1,36.32736,3,1,0
PSO,17,15,1,30.97856,3,1,0
PSO,18,15,2,26.07061,3,1,0
PSO,19,15,2,28.19567,3,1,0
PSO,20,15,2,26.51312,3,1,0
PSO,21,15,1,26.43877,3,1,0
PSO,22,15,1,37.21703,3,1,0
PSO,23,15,1,37.71179,3,1,0
PSO,24,15,1,43.3641,3,1,0
PSO,25,15,2,24.73116,3,1,0
PSO,26,15,2,26.25512,3,1,0
PSO,27,15,2,21.35767,4,1,0
PSO,28,15,1,35.8955,3,1,0
PSO,29,15,3,21.30696,2,1,0
