lambda,case,run,algo,best_fitness,PSRR_DB,penalty,is_feasible,runtime_sec
1000.0,highdim,22,ABC,-106.4424897958569,106.4424897958569,0,1,5.602042499987874
1000.0,highdim,22,GWO,903.676282404609,96.32371759539105,1,0,5.07943800004432
1000.0,highdim,22,FA,906.8005090858223,93.19949091417762,1,0,9.404728900000919
1000.0,highdim,22,PSO,-102.92750537683176,102.92750537683176,0,1,3.2342685000039637
1000.0,highdim,22,GA,905.9773004822555,94.02269951774451,1,0,8.329186299990397
1000.0,highdim,22,ACO,903.6616310109359,96.33836898906404,1,0,5.964948400040157
1000.0,highdim,23,ABC,-95.00403473401741,95.00403473401741,0,1,5.745372399978805
1000.0,highdim,23,GWO,903.914789216246,96.08521078375398,1,0,5.588478600024246
1000.0,highdim,23,FA,906.1308881068171,93.86911189318285,1,0,10.660866799997166
1000.0,highdim,23,PSO,906.4118446083419,93.58815539165806,1,0,3.664235499978531
1000.0,highdim,23,GA,905.970132684683,94.02986731531696,1,0,9.143901500036009
1000.0,highdim,23,ACO,903.6594015006419,96.34059849935805,1,0,5.960192100028507
1000.0,highdim,24,ABC,-90.98806572739458,90.98806572739458,0,1,5.81607979995897
1000.0,highdim,24,GWO,903.6695662698914,96.3304337301086,1,0,5.153111799969338
1000.0,highdim,24,FA,911.8747032243621,88.12529677563789,1,0,31.087161400006153
1000.0,highdim,24,PSO,905.5787450749852,94.42125492501471,1,0,3.2023720999713987
1000.0,highdim,24,GA,905.5591387781433,94.44086122185668,1,0,8.285736399993766
1000.0,highdim,24,ACO,903.6621258585419,96.33787414145814,1,0,6.279879700043239
1000.0,highdim,25,ABC,-110.41800409694032,110.41800409694032,0,1,5.850934799993411
1000.0,highdim,25,GWO,897.7339101723977,102.26608982760226,1,0,5.034786000032909
1000.0,highdim,25,FA,-105.44046680899297,105.44046680899297,0,1,10.134168600023258
1000.0,highdim,25,PSO,-110.23503874593693,110.23503874593693,0,1,3.2395558999851346
1000.0,highdim,25,GA,-110.47338543731017,110.47338543731017,0,1,7.734557700052392
1000.0,highdim,25,ACO,897.7339101723977,102.26608982760226,1,0,5.928448499995284
1000.0,highdim,26,ABC,-105.04970578554048,105.04970578554048,0,1,5.702326900034677
1000.0,highdim,26,GWO,903.6655898467955,96.3344101532046,1,0,5.062884300015867
1000.0,highdim,26,FA,904.57968909579,95.42031090421,1,0,9.543891100038309
1000.0,highdim,26,PSO,-105.44521848601109,105.44521848601109,0,1,3.19219550001435
1000.0,highdim,26,GA,-104.56156052915227,104.56156052915227,0,1,8.048046300013084
1000.0,highdim,26,ACO,902.7513943608279,97.24860563917203,1,0,6.260196099989116
1000.0,highdim,27,ABC,-97.94702652768783,97.94702652768783,0,1,5.675908699980937
1000.0,highdim,27,GWO,903.6657952637125,96.33420473628746,1,0,5.089728799997829
1000.0,highdim,27,FA,1906.3420110244674,93.65798897553248,2,0,9.237502400006633
1000.0,highdim,27,PSO,905.0285976850828,94.97140231491716,1,0,3.1804333999753
1000.0,highdim,27,GA,904.4545923238553,95.5454076761447,1,0,8.110172700020485
1000.0,highdim,27,ACO,903.6555010857635,96.34449891423645,1,0,5.930040299950633
1000.0,highdim,28,ABC,-108.23543668032715,108.23543668032715,0,1,5.586356899992097
1000.0,highdim,28,GWO,901.3359357566878,98.66406424331218,1,0,5.1116898999898694
1000.0,highdim,28,FA,901.3359357566878,98.66406424331218,1,0,22.876598200004082
1000.0,highdim,28,PSO,-107.53131791403837,107.53131791403837,0,1,3.2018389000440948
1000.0,highdim,28,GA,-108.18162406330657,108.18162406330657,0,1,7.973532999982126
1000.0,highdim,28,ACO,901.3359357566878,98.66406424331218,1,0,5.852983199991286
1000.0,highdim,29,ABC,-107.94074658636836,107.94074658636836,0,1,5.645593199995346
1000.0,highdim,29,GWO,903.9161084964002,96.08389150359983,1,0,5.078481399978045
1000.0,highdim,29,FA,905.7040274635181,94.29597253648195,1,0,9.510579399997368
1000.0,highdim,29,PSO,-106.72974510238566,106.72974510238566,0,1,3.2191206000279635
1000.0,highdim,29,GA,-106.964551461507,106.964551461507,0,1,8.028897500014864
1000.0,highdim,29,ACO,903.9197739781108,96.0802260218892,1,0,6.654509700019844
10000.0,base,0,ABC,-116.089583865813,116.089583865813,0,1,4.414803100051358
10000.0,base,0,GWO,-104.97267187183058,104.97267187183058,0,1,3.7723823999986053
10000.0,base,0,FA,-114.92840826490406,114.92840826490406,0,1,9.085469600046054
10000.0,base,0,PSO,-115.69578488702875,115.69578488702875,0,1,2.129561999987345
10000.0,base,0,GA,-116.0425241148285,116.0425241148285,0,1,4.419988300011028
10000.0,base,0,ACO,-109.98251756921051,109.98251756921051,0,1,3.96310250001261
10000.0,base,1,ABC,-110.2911746823488,110.2911746823488,0,1,4.097594699996989
10000.0,base,1,GWO,-104.26400790478885,104.26400790478885,0,1,3.381334599980619
10000.0,base,1,FA,-110.27444988515802,110.27444988515802,0,1,8.557954800024163
10000.0,base,1,PSO,-109.4928212645697,109.4928212645697,0,1,2.1229447000077926
10000.0,base,1,GA,-110.25584715437682,110.25584715437682,0,1,4.262495299975853
10000.0,base,1,ACO,-109.84381488726756,109.84381488726756,0,1,3.9237349000177346
10000.0,base,2,ABC,-110.0806252409229,110.0806252409229,0,1,3.88239220000105
10000.0,base,2,GWO,-94.16274207877862,94.16274207877862,0,1,3.4667602999834344
10000.0,base,2,FA,-107.96115962590792,107.96115962590792,0,1,8.652851600025315
10000.0,base,2,PSO,-109.95589724018733,109.95589724018733,0,1,2.170420099981129
10000.0,base,2,GA,-110.14477549787739,110.14477549787739,0,1,4.41019150003558
10000.0,base,2,ACO,-110.1820682126521,110.1820682126521,0,1,4.2982282000011764
10000.0,base,3,ABC,-111.216496316887,111.216496316887,0,1,3.897644600016065
10000.0,base,3,GWO,-111.37045551922199,111.37045551922199,0,1,3.6358199999667704
10000.0,base,3,FA,-111.08706567079118,111.08706567079118,0,1,9.649937200010754
10000.0,base,3,PSO,-111.5633984566664,111.5633984566664,0,1,2.4265798999695107
10000.0,base,3,GA,-111.48029720215757,111.48029720215757,0,1,4.822955100040417
10000.0,base,3,ACO,-111.56332951505343,111.56332951505343,0,1,4.391029399994295
10000.0,base,4,ABC,-100.8778717301618,100.8778717301618,0,1,3.9682495999732055
10000.0,base,4,GWO,9903.704709060903,96.2952909390971,1,0,3.398865499999374
10000.0,base,4,FA,9899.119800427974,100.88019957202567,1,0,15.904363899957389
10000.0,base,4,PSO,9906.081306774135,93.91869322586463,1,0,2.1207483000471257
10000.0,base,4,GA,9904.950339880199,95.04966011980018,1,0,4.601838600006886
10000.0,base,4,ACO,9903.65476578792,96.3452342120793,1,0,3.898220900038723
10000.0,base,5,ABC,-101.40558133980127,101.40558133980127,0,1,3.88588959997287
10000.0,base,5,GWO,9903.665730559116,96.3342694408838,1,0,3.4662383000249974
10000.0,base,5,FA,9905.029609784255,94.97039021574467,1,0,7.679342999996152
10000.0,base,5,PSO,-101.81071357813194,101.81071357813194,0,1,2.13691880000988
10000.0,base,5,GA,9895.899914421312,104.10008557868773,1,0,4.357143000001088
10000.0,base,5,ACO,9903.632836721456,96.36716327854363,1,0,3.8939194999984466
